ISBN13,Title,Author,author_id,Cover,,,,,,
9780789300355,Growing Gardener,Abbie Zabar,40,http://www.openisbn.com/cover/0789300354_72.jpg,,,,,,
9780028612676,Simply Heavenly!: The Monastery Vegetarian Cookbook,Abbot George Burke,41,http://www.openisbn.com/cover/0028612671_72.jpg,,,,,,
9780743411943,The Book Of Fred: A Novel,Abby Bardi,42,http://www.openisbn.com/cover/0743411943_72.jpg,,,,,,
9780877201359,LA Gran Aventura De Alejandro (Spanish Edition),Abby Kanter,43,http://www.openisbn.com/cover/0877201358_72.jpg,,,,,,
9780393038545,Recipes From The Dump,Abigail Stone,44,http://www.openisbn.com/cover/0393038548_72.jpg,,,,,,
9780380728824,Recipes From The Dump,Abigail Stone,44,http://www.openisbn.com/cover/0380728826_72.jpg,,,,,,
9780836279078,The Best Of Dear Abby,Abigail Van Buren,45,http://www.openisbn.com/cover/0836279077_72.jpg,,,,,,
9780060174057,The Tennis Partner,Abraham Verghese,46,http://www.openisbn.com/cover/0060174056_72.jpg,,,,,,
9780679752929,My Own Country: A Doctor's Story,Abraham Verghese,46,http://www.openisbn.com/cover/0679752927_72.jpg,,,,,,
9780671785147,My Own Country.,Abraham Verghese,46,http://www.openisbn.com/cover/0671785141_72.jpg,,,,,,
9780694016440,Spider-Man: I Am Spider-Man,Acton Figueroa,47,http://www.openisbn.com/cover/0694016446_72.jpg,,,,,,
9780345451262,Househusband,Ad Hudler,48,http://www.openisbn.com/cover/0345451260_72.jpg,,,,,,
9780345470621,Househusband,Ad Hudler,48,http://www.openisbn.com/cover/0345470621_72.jpg,,,,,,
9780152045708,Troy,Ada le Geras,49,http://www.openisbn.com/cover/0152045708_72.jpg,,,,,,
9780789426277,Forgotten Fire,Adam Bagdasariam,50,http://www.openisbn.com/cover/0789426277_72.jpg,,,,,,
9780451188496,Flawless,Adam Barrow,51,http://www.openisbn.com/cover/0451188497_72.jpg,,,,,,
9781587991035,Technomanifestos: Visions Of The Information Revolutionaries,Adam Brate,52,http://www.openisbn.com/cover/1587991039_72.jpg,,,,,,
9780060081188,Mr. Lincoln's Wars: A Novel In Thirteen Stories,Adam Braver,53,http://www.openisbn.com/cover/006008118X_72.jpg,,,,,,
9781573229388,The Frog King,Adam Davies,54,http://www.openisbn.com/cover/1573229385_72.jpg,,,,,,
9780375758232,Paris To The Moon,Adam Gopnik,55,http://www.openisbn.com/cover/0375758232_72.jpg,,,,,,
9780385501675,You Are Not A Stranger Here,Adam Haslett,56,http://www.openisbn.com/cover/0385501676_72.jpg,,,,,,
9780385509527,You Are Not A Stranger Here (Today Show Book Club #2),Adam Haslett,56,http://www.openisbn.com/cover/0385509529_72.jpg,,,,,,
9780385720724,You Are Not A Stranger Here: Stories,Adam Haslett,56,http://www.openisbn.com/cover/0385720726_72.jpg,,,,,,
9780826452313,Kazuo Ishiguro's The Remains Of The Day: A Reader's Guide (Continuum Contemporaries),Adam Parkes,57,http://www.openisbn.com/cover/0826452310_72.jpg,,,,,,
9780064472616,The Copper Elephant,Adam Rapp,58,http://www.openisbn.com/cover/0064472612_72.jpg,,,,,,
9780394721033,Money Game,Adam Smith,59,http://www.openisbn.com/cover/0394721039_72.jpg,,,,,,
9780671770433,DEVIL'S HEAVEN (Neil Hockaday Mystery),Adcock,60,http://www.openisbn.com/cover/0671770438_72.jpg,,,,,,
9780912310787,New Art Of Belly Dancing,Adela Vengana,61,,,,,,,
9780380818075,When It's Perfect (Avon Romantic Treasures),Adele Ashworth,62,http://www.openisbn.com/cover/0380818078_72.jpg,,,,,,
9780380818068,Someone Irresistible (Avon Romantic Treasure),Adele Ashworth,62,http://www.openisbn.com/cover/038081806X_72.jpg,,,,,,
9780380570003,How To Talk So Kids Will Listen And Listen So Kids Will Talk,Adele Faber,63,,,,,,,
9780684824727,How To Talk So Kids Can Learn,Adele Faber,63,,,,,,,
9780786813339,The Other Shepards,Adele Griffin,64,http://www.openisbn.com/cover/0786813334_72.jpg,,,,,,
9780312288112,Confessions Of A Sociopathic Social Climber: The Katya Livingston Chronicles,Adele Lang,65,http://www.openisbn.com/cover/0312288115_72.jpg,,,,,,
9780671775469,Playing Away,Adele Parks,66,http://www.openisbn.com/cover/0671775464_72.jpg,,,,,,
9780961462062,Luna Yoga : Vital Fertility And Sexuality,Adelheid Ohlig,67,http://www.openisbn.com/cover/096146206X_72.jpg,,,,,,
9780767903578,Falling Leaves: The Memoir Of An Unwanted Chinese Daughter,Adeline Yen Mah,68,http://www.openisbn.com/cover/0767903579_72.jpg,,,,,,
9780140265989,Falling Leaves: The True Story Of An Unwanted Chinese Daughter,Adeline Yen Mah,68,http://www.openisbn.com/cover/0140265988_72.jpg,,,,,,
9781863736527,Seasonal Adjustments,Adib Khan,69,http://www.openisbn.com/cover/1863736522_72.jpg,,,,,,
9781568304700,Adobe(R) Illustrator(R) 8.0 Classroom In A Book,Adobe Systems Inc,70,,,,,,,
9780883441046,Christ In A Poncho: Testimonials Of The Nonviolent Struggles In Latin America,Adolfo Perez Esquivel,71,http://www.openisbn.com/cover/0883441047_72.jpg,,,,,,
9780536597076,The Masai: A Proud People,Adrian Ann Rapp,72,http://www.openisbn.com/cover/0536597073_72.jpg,,,,,,
9780920656402,Mammals Of The Canadian Wild,Adrian Forsyth,73,http://www.openisbn.com/cover/0920656404_72.jpg,,,,,,
9780920656082,The Architecture Of Animals: The Equinox Guide To Wildlife Structures,Adrian Forsyth,73,http://www.openisbn.com/cover/0920656080_72.jpg,,,,,,
9780920656945,Exploring The World Of Birds: An Equinox Guide To Avian Life,Adrian Forsyth,73,,,,,,,
9780850315332,Nothingmas Day,Adrian Mitchell,74,http://www.openisbn.com/cover/0850315336_72.jpg,,,,,,
9780006276197,Alien At St Wilfred's,Adrian Plass,75,http://www.openisbn.com/cover/0006276199_72.jpg,,,,,,
9780551031128,Why I Follow Jesus,Adrian Plass,75,http://www.openisbn.com/cover/0551031123_72.jpg,,,,,,
9780551032514,Colours Of Survival: Discovering Hope In Bangladesh,Adrian Plass,75,,,,,,,
9780551031081,Stress Family Robinson 2,Adrian Plass,75,http://www.openisbn.com/cover/0551031085_72.jpg,,,,,,
